Date,.RUA,ACWX.O,AGG
2006-01-03,734.7169,,100.64
2006-01-04,737.9098,,100.88
2006-01-05,738.3703,,100.88
2006-01-06,745.3957,,100.65
2006-01-09,748.7451,,100.76
2006-01-10,749.2584,,100.56
2006-01-11,751.4161,,100.49
2006-01-12,746.6911,,100.75
2006-01-13,747.7524,,101.03
2006-01-17,744.9145,,101.08
2006-01-18,742.2436,,101.2
2006-01-19,747.1097,,101.05
2006-01-20,733.3401,,101.1
2006-01-23,734.8626,,101.1
2006-01-24,738.0879,,100.93
2006-01-25,736.5355,,100.68
2006-01-26,742.4374,,100.37
2006-01-27,747.679,,100.5
2006-01-30,748.3293,,100.51
2006-01-31,746.7719,,100.53
2006-02-01,748.0387,,99.88
2006-02-02,741.2274,,99.95
2006-02-03,737.393,,100.23
2006-02-06,738.3392,,100.21
2006-02-07,731.8328,,100.14
2006-02-08,737.4044,,100.09
2006-02-09,736.1587,,100.15
2006-02-10,737.4641,,99.94
2006-02-13,734.2277,,100.01
2006-02-14,741.7345,,99.85
2006-02-15,744.8133,,99.96
2006-02-16,750.5962,,99.86
2006-02-17,749.5767,,100.27
2006-02-21,746.9133,,99.9
2006-02-22,752.714,,100.3
2006-02-23,750.3109,,100.24
2006-02-24,751.6937,,100.32
2006-02-27,754.6974,,100.11
2006-02-28,746.5699,,100.32
2006-03-01,753.3705,,99.95
2006-03-02,752.07,,99.7
2006-03-03,750.787,,99.5
2006-03-06,745.4828,,98.95
2006-03-07,742.6514,,99.2
2006-03-08,743.7992,,99.25
2006-03-09,740.2276,,99.12
2006-03-10,745.6452,,99.16
2006-03-13,747.1613,,99.34
2006-03-14,754.8894,,99.67
2006-03-15,758.7177,,99.4
2006-03-16,759.7874,,99.82
2006-03-17,761.3124,,99.6
2006-03-20,760.3279,,99.56
2006-03-21,755.0934,,99.3
2006-03-22,760.0083,,99.48
2006-03-23,758.7502,,99.4
2006-03-24,760.3331,,99.57
2006-03-27,759.6582,,99.65
2006-03-28,755.2146,,99.4
2006-03-29,761.9085,,99.2
2006-03-30,760.4307,,98.75
2006-03-31,758.452,,99.08
2006-04-03,759.0949,,98.6
2006-04-04,763.2548,,98.73
2006-04-05,766.6551,,98.8
2006-04-06,765.3519,,98.72
2006-04-07,757.5081,,98.39
2006-04-10,757.5114,,98.3
2006-04-11,751.3603,,98.5
2006-04-12,752.7286,,98.41
2006-04-13,753.5959,,98.21
2006-04-17,751.4711,,98.37
2006-04-18,765.1182,,98.3
2006-04-19,767.4968,,98.39
2006-04-20,767.8505,,98.24
2006-04-21,767.2348,,98.23
2006-04-24,764.9582,,98.6
2006-04-25,761.5356,,98.27
2006-04-26,763.0104,,98.1
2006-04-27,765.0643,,98.3299
2006-04-28,765.8041,,98.55
2006-05-01,762.5386,,97.79
2006-05-02,766.7562,,97.89
2006-05-03,764.2031,,97.82
2006-05-04,767.3369,,97.77
2006-05-05,775.395,,97.95
2006-05-08,775.056,,98.02
2006-05-09,774.9992,,97.97
2006-05-10,773.2839,,97.86
2006-05-11,762.8011,,97.8
2006-05-12,753.4505,,97.59
2006-05-15,754.3013,,97.65
2006-05-16,753.2834,,98.13
2006-05-17,740.573,,97.85
2006-05-18,735.4071,,98.26
2006-05-19,738.3274,,98.24
2006-05-22,734.6463,,98.26
2006-05-23,731.322,,97.99
2006-05-24,731.9555,,98.01
2006-05-25,740.8992,,98.0
2006-05-26,745.372,,98.42
2006-05-30,733.1237,,98.2
2006-05-31,739.781,,97.98
2006-06-01,749.7438,,97.52
2006-06-02,751.3042,,98.27
2006-06-05,736.9722,,97.95
2006-06-06,735.2503,,98.21
2006-06-07,731.1348,,97.9
2006-06-08,731.6165,,98.23
2006-06-09,728.5907,,98.37
2006-06-12,718.0856,,98.07
2006-06-13,710.0199,,98.35
2006-06-14,713.4447,,97.98
2006-06-15,729.8923,,97.82
2006-06-16,726.8477,,97.76
2006-06-19,719.4359,,97.5
2006-06-20,718.9934,,97.56
2006-06-21,727.0485,,97.59
2006-06-22,723.1975,,97.17
2006-06-23,723.3362,,97.22
2006-06-26,727.2507,,96.94
2006-06-27,720.2441,,97.21
2006-06-28,723.6397,,97.11
2006-06-29,740.3744,,97.45
2006-06-30,740.1426,,97.44
2006-07-03,745.8453,,97.2
2006-07-05,739.5535,,96.91
2006-07-06,741.39,,97.0
2006-07-07,735.7131,,97.36
2006-07-10,736.2953,,97.45
2006-07-11,739.1545,,97.61
2006-07-12,730.5545,,97.67
2006-07-13,720.3534,,97.75
2006-07-14,716.1886,,97.88
2006-07-17,714.8371,,97.67
