Date,.RUA,ACWX.O,.SPCBMICUSRE,AGG,.MERH0A0,.BCOM
2006-01-02,,,227.618,,,171.149
2006-01-03,734.7169,,232.378,100.64,517.974,171.829
2006-01-04,737.9098,,233.389,100.88,519.419,171.829
2006-01-05,738.3703,,235.698,100.88,520.482,169.029
2006-01-06,745.3957,,238.137,100.65,521.763,170.352
2006-01-09,748.7451,,239.916,100.76,523.188,169.135
2006-01-10,749.2584,,241.993,100.56,522.543,168.582
2006-01-11,751.4161,,241.591,100.49,522.426,167.969
2006-01-12,746.6911,,240.959,100.75,522.178,167.005
2006-01-13,747.7524,,237.631,101.03,521.682,167.865
2006-01-16,,,237.631,,522.026,167.865
2006-01-17,744.9145,,237.115,101.08,521.454,169.589
2006-01-18,742.2436,,236.769,101.2,521.453,167.339
2006-01-19,747.1097,,240.003,101.05,522.018,168.868
2006-01-20,733.3401,,237.096,101.1,521.953,170.431
2006-01-23,734.8626,,238.822,101.1,522.688,169.898
2006-01-24,738.0879,,240.471,100.93,523.547,170.141
2006-01-25,736.5355,,240.261,100.68,523.832,170.115
2006-01-26,742.4374,,241.255,100.37,523.355,169.926
2006-01-27,747.679,,244.257,100.5,524.039,171.589
2006-01-30,748.3293,,243.402,100.51,525.068,174.224
2006-01-31,746.7719,,244.412,100.53,525.437,173.669
2006-02-01,748.0387,,245.46,99.88,525.744,171.409
2006-02-02,741.2274,,243.715,99.95,525.796,170.83
2006-02-03,737.393,,241.04,100.23,525.657,172.555
2006-02-06,738.3392,,242.219,100.21,525.649,170.612
2006-02-07,731.8328,,240.2,100.14,525.104,167.042
2006-02-08,737.4044,,239.325,100.09,524.833,166.841
2006-02-09,736.1587,,240.058,100.15,525.035,167.731
2006-02-10,737.4641,,240.242,99.94,525.02,164.285
2006-02-13,734.2277,,240.582,100.01,524.909,162.384
2006-02-14,741.7345,,241.981,99.85,524.774,161.839
2006-02-15,744.8133,,243.963,99.96,525.776,159.726
2006-02-16,750.5962,,245.736,99.86,526.64,160.758
2006-02-17,749.5767,,247.472,100.27,527.636,162.515
2006-02-20,,,247.472,,527.984,162.515
2006-02-21,746.9133,,248.254,99.9,527.841,165.479
2006-02-22,752.714,,250.857,100.3,528.299,163.027
2006-02-23,750.3109,,250.362,100.24,528.153,162.25
2006-02-24,751.6937,,249.115,100.32,528.113,163.902
2006-02-27,754.6974,,249.301,100.11,528.159,160.645
2006-02-28,746.5699,,248.329,100.32,528.759,162.234
2006-03-01,753.3705,,249.755,99.95,528.584,162.34
2006-03-02,752.07,,249.009,99.7,527.904,164.679
2006-03-03,750.787,,247.81,99.5,527.511,165.499
2006-03-06,745.4828,,252.41,98.95,527.637,162.428
2006-03-07,742.6514,,249.447,99.2,526.945,160.483
2006-03-08,743.7992,,250.642,99.25,526.829,158.78
2006-03-09,740.2276,,253.008,99.12,527.106,159.626
2006-03-10,745.6452,,255.311,99.16,527.191,159.846
2006-03-13,747.1613,,253.821,99.34,527.776,161.161
2006-03-14,754.8894,,255.564,99.67,528.47,162.625
2006-03-15,758.7177,,259.953,99.4,528.867,161.976
2006-03-16,759.7874,,262.447,99.82,530.01,162.38
2006-03-17,761.3124,,264.832,99.6,530.15,162.186
2006-03-20,760.3279,,260.672,99.56,531.145,159.927
2006-03-21,755.0934,,257.402,99.3,531.716,160.766
2006-03-22,760.0083,,258.215,99.48,532.106,159.88
2006-03-23,758.7502,,258.809,99.4,531.743,162.645
2006-03-24,760.3331,,257.857,99.57,532.433,162.972
2006-03-27,759.6582,,255.469,99.65,532.974,163.24
2006-03-28,755.2146,,258.295,99.4,532.718,164.583
2006-03-29,761.9085,,263.106,99.2,531.894,165.132
2006-03-30,760.4307,,259.107,98.75,531.651,167.351
2006-03-31,758.452,,259.662,99.08,532.064,165.194
2006-04-03,759.0949,,254.446,98.6,532.442,166.576
2006-04-04,763.2548,,252.508,98.73,532.35,164.723
2006-04-05,766.6551,,254.402,98.8,532.714,166.745
2006-04-06,765.3519,,253.045,98.72,532.175,168.552
2006-04-07,757.5081,,249.204,98.39,531.869,167.195
2006-04-10,757.5114,,246.564,98.3,531.588,169.259
2006-04-11,751.3603,,245.463,98.5,532.173,170.021
2006-04-12,752.7286,,245.569,98.41,532.225,170.29
2006-04-13,753.5959,,242.56,98.21,531.666,171.242
2006-04-14,,,242.56,,,
2006-04-17,751.4711,,241.723,98.37,532.164,173.946
2006-04-18,765.1182,,247.577,98.3,532.639,177.571
2006-04-19,767.4968,,250.841,98.39,532.896,178.927
2006-04-20,767.8505,,250.933,98.24,533.328,176.811
2006-04-21,767.2348,,251.243,98.23,533.835,180.014
2006-04-24,764.9582,,249.594,98.6,534.365,176.846
2006-04-25,761.5356,,248.073,98.27,534.265,177.869
2006-04-26,763.0104,,246.787,98.1,533.842,177.728
2006-04-27,765.0643,,248.676,98.3299,534.477,173.652
2006-04-28,765.8041,,249.3,98.55,535.249,175.767
2006-04-30,,,,,535.483,
2006-05-01,762.5386,,246.07,97.79,535.454,178.183
2006-05-02,766.7562,,244.089,97.89,535.985,178.796
2006-05-03,764.2031,,244.291,97.82,535.734,177.013
2006-05-04,767.3369,,247.583,97.77,535.677,177.634
2006-05-05,775.395,,250.723,97.95,536.066,178.907
2006-05-08,775.056,,251.841,98.02,536.589,178.138
2006-05-09,774.9992,,251.73,97.97,536.955,180.895
2006-05-10,773.2839,,251.695,97.86,537.534,183.996
2006-05-11,762.8011,,246.023,97.8,537.575,187.535
2006-05-12,753.4505,,242.476,97.59,536.903,185.293
2006-05-15,754.3013,,245.577,97.65,536.751,179.812
2006-05-16,753.2834,,244.539,98.13,536.349,180.959
2006-05-17,740.573,,240.027,97.85,534.574,179.558
2006-05-18,735.4071,,238.63,98.26,534.886,178.632
2006-05-19,738.3274,,238.722,98.24,535.35,174.572
2006-05-22,734.6463,,237.458,98.26,534.535,176.096
2006-05-23,731.322,,235.623,97.99,534.536,180.998
