Date,.VIX,Federal Funds,.SPVXSPID,EUR=,.MRILT
1990-01-02,24.87,8.25,,,
1990-01-03,21.9,8.3,,,
1990-01-05,18.43,8.11,,,
1990-01-06,17.09,8.28,,,
1990-01-08,21.64,8.07,,,
1990-01-10,28.06,8.25,,,
1990-01-11,30.25,8.06,,,
1990-01-16,24.18,8.31,,,
1990-01-17,24.16,8.26,,,
1990-01-18,24.34,8.23,,,
1990-01-19,22.5,8.19,,,
1990-01-22,26.7,8.19,,,
1990-01-23,24.72,8.19,,,
1990-01-24,25.39,8.4,,,
1990-01-25,25.63,8.24,,,
1990-01-26,26.28,8.24,,,
1990-01-29,26.44,8.24,,,
1990-01-30,27.25,8.23,,,
1990-01-31,25.36,8.26,,,
1990-02-01,17.24,8.54,,,
1990-02-02,24.32,8.23,,,
1990-02-03,21.34,8.27,,,
1990-02-04,22.84,8.34,,,
1990-02-05,19.32,7.73,,,
1990-02-07,16.26,8.35,,,
1990-02-08,20.43,8.09,,,
1990-02-10,27.28,8.32,,,
1990-02-11,30.03,8.02,,,
1990-02-13,23.76,8.21,,,
1990-02-14,22.05,8.21,,,
1990-02-15,19.71,8.32,,,
1990-02-16,20.78,8.19,,,
1990-02-20,22.78,8.24,,,
1990-02-21,23.89,8.41,,,
1990-02-22,22.54,8.28,,,
1990-02-23,23.69,8.25,,,
1990-02-26,23.56,8.28,,,
1990-02-27,22.69,8.27,,,
1990-02-28,21.99,8.29,,,
1990-03-01,18.19,8.37,,,
1990-03-04,20.44,8.31,,,
1990-03-05,17.81,8.19,,,
1990-03-07,16.11,8.32,,,
1990-03-08,28.74,8.03,,,
1990-03-10,27.9,8.71,,,
1990-03-12,22.29,7.65,,,
1990-03-13,21.05,8.23,,,
1990-03-14,19.65,8.21,,,
1990-03-15,18.81,8.29,,,
1990-03-16,17.62,8.22,,,
1990-03-19,18.29,8.24,,,
1990-03-20,19.06,8.26,,,
1990-03-21,20.1,8.47,,,
1990-03-22,22.74,8.28,,,
1990-03-23,20.46,8.25,,,
1990-03-26,19.59,8.25,,,
1990-03-27,21.01,8.26,,,
1990-03-28,19.77,8.3,,,
1990-03-29,18.46,8.37,,,
1990-03-30,19.73,8.3,,,
1990-04-01,19.22,8.29,,,
1990-04-04,22.03,8.37,,,
1990-04-05,17.28,8.21,,,
1990-04-06,18.39,8.28,,,
1990-04-09,29.58,8.17,,,
1990-04-10,27.51,8.31,,,
1990-04-12,22.03,7.58,,,
1990-04-16,20.75,8.31,,,
1990-04-17,20.38,8.39,,,
1990-04-18,22.67,8.46,,,
1990-04-19,22.46,8.31,,,
1990-04-20,23.33,8.24,,,
1990-04-23,24.16,8.25,,,
1990-04-24,21.7,8.21,,,
1990-04-25,20.86,8.21,,,
1990-04-26,20.25,8.21,,,
1990-04-27,22.19,8.18,,,
1990-04-30,19.52,8.23,,,
1990-05-01,20.11,8.2,,,
1990-05-02,24.54,8.22,,,
1990-05-03,22.03,8.24,,,
1990-05-04,21.21,8.31,,,
1990-05-06,18.97,8.27,,,
1990-05-07,17.25,8.32,,,
1990-05-09,28.52,9.31,,,
1990-05-10,27.85,8.19,,,
1990-05-11,29.85,7.96,,,
1990-05-12,20.94,7.47,,,
1990-05-14,20.14,8.27,,,
1990-05-15,19.49,8.34,,,
1990-05-16,17.71,7.53,,,
1990-05-17,17.27,8.2,,,
1990-05-18,17.2,8.22,,,
1990-05-21,16.72,8.24,,,
1990-05-22,17.84,8.22,,,
1990-05-23,17.18,8.24,,,
1990-05-24,17.7,8.29,,,
1990-05-25,17.32,8.27,,,
1990-05-29,18.75,8.26,,,
1990-05-30,17.44,7.69,,,
1990-05-31,17.37,8.23,,,
1990-06-02,24.69,8.19,,,
1990-06-03,20.55,8.21,,,
1990-06-04,21.76,8.26,,,
1990-06-06,17.42,8.22,,,
1990-06-07,16.41,8.32,,,
1990-06-08,35.91,8.04,,,
1990-06-09,30.19,8.2,,,
1990-06-11,29.11,7.89,,,
1990-06-12,22.62,7.44,,,
1990-06-13,17.38,8.61,,,
1990-06-14,17.4,8.29,,,
1990-06-15,15.9,8.29,,,
1990-06-18,17.71,8.28,,,
1990-06-19,15.23,8.25,,,
1990-06-20,15.27,8.24,,,
1990-06-21,14.72,8.25,,,
1990-06-22,19.36,8.24,,,
1990-06-25,17.06,8.3,,,
1990-06-26,16.29,8.33,,,
1990-06-27,16.0,8.39,,,
1990-06-28,16.18,8.36,,,
1990-06-29,15.5,8.32,,,
1990-07-02,24.29,8.22,,,
1990-07-03,19.1,8.4,,,
1990-07-05,17.65,8.23,,,
1990-07-06,16.88,8.25,,,
1990-07-08,32.75,8.05,,,
1990-07-09,28.73,8.13,,,
1990-07-11,30.87,7.8,,,
1990-07-12,22.59,7.25,,,
1990-07-13,17.09,8.18,,,
